sample,treatment,replica,sample_type,broth,incub,density,qPCR_16S
88,PEB_a1d2,8,microcosm,PEB,4_cycles,d2,151634482.320243
89,PEB_a1d2,9,microcosm,PEB,4_cycles,d2,265856492.944566
90,PEB_a1d2,10,microcosm,PEB,4_cycles,d2,226746268.369795
91,PEB_a1d3,1,microcosm,PEB,4_cycles,d3,271439643.644806
92,PEB_a1d3,2,microcosm,PEB,4_cycles,d3,282442388.432763
93,PEB_a1d3,3,microcosm,PEB,4_cycles,d3,216661158.189103
94,PEB_a1d3,4,microcosm,PEB,4_cycles,d3,304263284.342663
95,PEB_a1d3,5,microcosm,PEB,4_cycles,d3,234547222.123057
96,PEB_a1d3,6,microcosm,PEB,4_cycles,d3,231653280.363792
97,PEB_a1d3,7,microcosm,PEB,4_cycles,d3,182868959.369533
98,PEB_a1d3,8,microcosm,PEB,4_cycles,d3,310030569.910954
99,PEB_a1d3,9,microcosm,PEB,4_cycles,d3,291805059.522961
100,PEB_a1d3,10,microcosm,PEB,4_cycles,d3,266200506.882845
101,PEB_a2d1,1,microcosm,PEB,7_cycles,d1,268318616.709814
102,PEB_a2d1,2,microcosm,PEB,7_cycles,d1,215452301.925525
103,PEB_a2d1,3,microcosm,PEB,7_cycles,d1,278510633.614896
104,PEB_a2d1,4,microcosm,PEB,7_cycles,d1,148084079.25138
105,PEB_a2d1,5,microcosm,PEB,7_cycles,d1,236194506.62765
106,PEB_a2d1,6,microcosm,PEB,7_cycles,d1,215277680.894046
107,PEB_a2d1,7,microcosm,PEB,7_cycles,d1,246986703.950166
108,PEB_a2d1,8,microcosm,PEB,7_cycles,d1,173047722.502054
109,PEB_a2d1,9,microcosm,PEB,7_cycles,d1,255607902.812246
110,PEB_a2d1,10,microcosm,PEB,7_cycles,d1,258826351.462884
111,PEB_a2d2,1,microcosm,PEB,7_cycles,d2,229867597.1321
112,PEB_a2d2,2,microcosm,PEB,7_cycles,d2,262534437.379177
113,PEB_a2d2,3,microcosm,PEB,7_cycles,d2,223058935.435659
114,PEB_a2d2,4,microcosm,PEB,7_cycles,d2,269601281.078588
115,PEB_a2d2,5,microcosm,PEB,7_cycles,d2,233442735.350318
116,PEB_a2d2,6,microcosm,PEB,7_cycles,d2,223513277.816687
117,PEB_a2d2,7,microcosm,PEB,7_cycles,d2,202833780.027365
118,PEB_a2d2,8,microcosm,PEB,7_cycles,d2,229129860.572665
119,PEB_a2d2,9,microcosm,PEB,7_cycles,d2,268537485.321368
120,PEB_a2d2,10,microcosm,PEB,7_cycles,d2,228378825.745332
121,PEB_a2d3,1,microcosm,PEB,7_cycles,d3,227245189.148409
122,PEB_a2d3,2,microcosm,PEB,7_cycles,d3,238795004.884741
123,PEB_a2d3,3,microcosm,PEB,7_cycles,d3,243432222.969547
124,PEB_a2d3,4,microcosm,PEB,7_cycles,d3,243099529.67763
125,PEB_a2d3,5,microcosm,PEB,7_cycles,d3,240427302.418764
126,PEB_a2d3,6,microcosm,PEB,7_cycles,d3,225632094.759573
127,PEB_a2d3,7,microcosm,PEB,7_cycles,d3,228230653.235408
128,PEB_a2d3,8,microcosm,PEB,7_cycles,d3,213671854.434252
129,PEB_a2d3,9,microcosm,PEB,7_cycles,d3,258405889.63371
130,PEB_a2d3,10,microcosm,PEB,7_cycles,d3,240998957.142144
131,T0,1,original_soil,T0,T0,T0,249127762.500385
132,T0,2,original_soil,T0,T0,T0,249950005.333043
133,T0,3,original_soil,T0,T0,T0,268911577.154932
134,T0,4,original_soil,T0,T0,T0,256705360.049378
