sample,observed_species,PD_whole_tree,simpson_reciprocal
106,916,72.206751818,64.8005459446
106,931,72.265480436,65.0704082151
121,897,71.913722796,44.9460296503
121,898,72.036953023,44.4988937853
121,895,72.434375477,44.7735925351
121,935,74.168932112,44.1994444682
121,907,71.054559686,45.1884854091
121,911,71.389289148,43.8739610783
121,895,70.456818467,43.5435169827
121,895,71.262755706,41.6489333318
121,924,73.07417903,46.3288042101
121,912,70.99587875,45.7739225963
126,964,77.043300438,38.8842646317
126,965,77.336153473,38.5873182778
126,972,76.021736737,38.7196383586
126,975,78.532997162,39.7393101256
126,952,75.668363578,38.7643382625
126,952,75.470223796,37.8272500417
126,968,75.517761413,38.2698671438
126,954,75.951570699,39.5047097021
126,973,77.395819346,39.9962503515
126,977,76.760038537,41.0063470136
130,813,66.372865431,34.5874153689
130,812,65.04713838,35.5949077035
130,821,67.628004578,35.7973067001
130,821,67.753556809,35.0591184385
130,804,64.479211189,32.9255368406
130,813,65.309443375,35.1465280722
130,793,63.20803008,34.4798976809
130,814,65.909369852,35.2821969342
130,807,65.522782316,35.0248895621
130,794,63.209647962,34.9717220841
132,1586,108.742336183,251.934780384
132,1569,107.675788535,248.845202731
132,1570,108.380910261,254.171995012
132,1561,107.164948385,257.067343611
132,1573,108.305841638,253.96422279
132,1600,109.404868543,254.430671617
132,1554,107.932024386,253.956160818
132,1585,108.802977878,256.133189258
132,1569,107.906697268,253.917873438
132,1586,108.937429454,249.839946284
133,1561,106.443590282,248.427917087
133,1577,107.716758899,244.981702929
133,1597,108.476493533,244.244977713
133,1574,107.581093908,258.604666198
133,1579,107.529748695,257.452029446
133,1591,108.805220704,249.732707961
133,1578,107.278525923,246.677561592
133,1595,107.899475617,248.162049819
133,1566,106.517312003,244.312108719
133,1575,106.981064087,246.740328936
134,1551,105.861012766,256.848627866
134,1535,104.582075098,263.487253804
134,1543,104.975452082,253.391085385
134,1536,104.051225319,258.29990233
134,1534,105.312538148,267.498140052
134,1547,105.28890108,260.939054422
134,1533,104.752536167,263.821788382
134,1549,104.881943515,269.151835279
134,1540,105.016278013,260.365813969
134,1534,104.694753549,262.497334011
135,1554,105.195277937,248.723349682
135,1558,105.601602624,245.787056239
135,1553,105.107361158,245.037980887
135,1558,105.293742862,250.224811354
135,1555,105.150516421,247.220698553
135,1565,105.955679983,249.670357107
135,1553,105.374429104,248.285279786
135,1558,105.604455538,247.496036196
135,1559,105.60762048,251.507077566
135,1555,105.258476854,248.040864732
140,1588,109.250898542,263.218504261
140,1601,109.625582297,257.360924569
140,1560,107.384087386,246.746036642
140,1611,110.054599497,249.368785262
140,1581,108.389720254,257.406468946
140,1586,108.163906776,262.609352176
140,1589,109.346743877,253.805093551
140,1595,108.192907064,243.73152972
140,1590,109.335883393,251.59804068
140,1589,108.602936217,259.571706684
141,1603,109.04928032,238.380798427
141,1588,111.278540446,245.523040803
141,1598,111.641583476,241.207242247
141,1585,108.679652377,248.391278361
141,1576,108.1285965,252.326131525
141,1559,110.215562141,237.430996617
141,1606,111.957159045,238.658144582
141,1615,110.365712216,249.300789193
141,1600,112.180346356,239.204048529
141,1597,108.942339509,237.690245044
142,1579,107.135247974,243.08351438
142,1592,107.043059751,231.9092655
142,1607,109.641647167,227.42455901
142,1584,107.02568987,213.279302577
142,1604,109.454043994,239.273804005
142,1599,108.616137269,232.104388949
142,1574,106.935768218,241.722879826
142,1586,106.428219149,234.133778188
142,1583,107.894091609,229.091794218
142,1600,107.407738762,236.924717171
4,981,78.045048525,45.685308176
4,969,76.333500655,45.0542410824
4,972,77.320406501,43.9035165345
4,975,77.345575184,45.6040542004
4,972,77.954418236,45.1175099646
4,980,77.768235504,46.3776853767
4,972,76.445487201,44.6643543558
4,976,76.048184501,44.7494867793
4,966,75.74094868,44.3904976591
4,977,77.806227663,45.1444976617
8,933,73.671813441,53.0954656472
8,937,74.056871706,53.3198256442
8,934,73.785763543,53.1513784478
8,936,73.34639329,53.3654415407
8,935,73.581351145,53.3311112037
8,930,73.460473935,53.7535968715
8,928,73.275631328,53.9653576132
8,936,73.579423192,53.1198799491
8,943,74.270936503,54.1161230533
8,937,73.760221139,53.1099176132
14,891,70.168782364,66.0587881928
14,889,71.387799775,63.4750612435
14,894,70.054603793,65.3274538625
14,892,69.163888282,64.4968839943
14,883,71.68294083,66.8319364762
14,890,71.734411412,65.7221841125
14,884,69.437320592,65.2468676406
14,874,70.461366525,65.8277739721
14,900,72.119173898,66.6522253512
14,891,71.797284865,65.1472429483
25,948,75.084725818,47.3885923811
25,940,73.789814353,48.0414838213
25,945,75.385040585,46.7994308019
25,927,74.113868819,45.981570012
25,950,74.900657854,46.1490093827
25,935,74.94326123,46.0074848427
25,929,74.254523936,46.7742572029
25,928,73.677772055,46.8303876532
25,938,74.178298716,46.3939571871
25,935,74.282006353,47.8753803849
30,904,69.688488443,60.3285265323
30,901,70.806216615,58.4692743963
30,900,70.528634645,60.3290952144
30,902,70.213717176,60.5174621246
30,904,69.090138805,59.8794551718
30,888,68.718292714,60.4713743632
30,909,69.968747039,61.4655303227
30,898,70.075380586,61.3171302817
30,900,69.370689675,60.759916683
30,911,69.772010853,61.3928895523
32,893,70.657239451,63.7845358379
32,907,71.760453526,64.8833215394
32,903,69.894647761,63.0576662358
32,910,71.751067693,63.9344033022
32,889,70.674083308,63.819136567
32,910,71.603210313,64.5087157323
32,902,71.628898555,64.0212550567
32,905,71.659015206,63.2016369224
32,909,72.061540775,63.4761944435
32,895,70.222208264,63.1914028096
54,985,76.707011721,71.6959910738
54,964,75.852891267,71.8265030818
54,990,75.160190933,71.240134911
54,976,75.94154832,70.0290839539
54,968,77.012925803,70.6979210393
54,957,73.513929267,71.4569628111
54,994,77.578009079,73.1176211182
54,961,75.673030824,70.7174506359
54,963,74.276085879,71.9257905656
54,981,74.712076173,70.3227153358
73,837,69.438599928,62.9783649636
73,817,66.445984792,62.4020093447
73,819,69.233804545,62.6835206983
73,840,69.723465009,62.7554342284
73,818,67.3257591,61.3797005821
73,811,66.633275504,61.3735790578
73,808,67.91086127,62.9084132139
73,824,65.509036538,61.4544344176
73,829,70.23690878,62.6381219525
73,817,66.706812208,63.121848839
80,860,70.43333101,40.6653874014
80,856,73.55778244,42.4787971067
80,853,70.790030661,40.3554813463
80,871,72.35405875,41.7053853382
80,878,73.690197248,41.0469538671
80,863,72.839169195,42.285477185
80,847,70.195535882,40.7960845958
80,854,70.954121682,41.9036295091
80,885,75.496440955,40.9020434405
80,840,71.757467726,41.0560119473
122,929,72.648912422,39.9460229365
122,933,73.636674071,39.8790170321
122,925,72.604887492,39.7615796282
122,941,73.759932978,39.9184167358
122,917,72.933088523,40.2449913851
122,931,70.544081857,40.5288508424
122,941,74.495982987,39.6516110326
122,939,74.359727892,39.2469491629
122,947,74.478076269,39.7914925789
122,953,75.046882363,39.5906818381
131,1531,104.588886794,69.5428427376
131,1531,104.921668953,68.0342977904
131,1540,105.567615578,70.9487173802
131,1530,105.305741035,67.8705200154
131,1546,105.957225736,70.0474790569
131,1511,104.605095278,68.8852006604
131,1531,104.931665284,67.9280048059
131,1554,106.287188974,69.1410520675
131,1537,105.547987905,69.909750881
131,1542,105.939476012,67.5849775491
136,1571,107.298351256,224.812246647
136,1596,108.218976202,230.502712008
136,1586,108.609894764,229.858636938
136,1588,109.225623803,230.075133911
136,1572,107.878742916,224.033156907
136,1579,108.118746716,233.362017415
136,1567,107.586795833,225.615860795
136,1575,107.770803067,224.649686894
136,1584,107.904149099,228.437629389
136,1566,107.81831308,218.579234973
137,1588,108.671101601,218.772005387
137,1590,107.980027574,217.360295067
137,1573,108.079028939,218.306352033
137,1587,108.687453737,221.843240021
137,1590,108.842528889,218.458366614
137,1584,108.22923681,216.536631908
137,1577,108.59054793,217.398688814
137,1571,107.582870746,216.083354154
137,1590,108.536013084,221.927859575
137,1589,108.890708312,220.511725022
138,1574,109.092735314,279.845035811
138,1555,107.155053217,276.759150349
138,1553,107.36204018,271.432570212
138,1561,107.766216255,281.1456686
138,1568,107.192967128,274.548496418
138,1569,108.36883273,277.719919461
138,1570,108.273388308,276.207328126
138,1560,106.739189211,280.109592878
138,1560,107.601183631,280.475405813
138,1567,106.895417768,278.118182845
6,941,74.271744838,51.7739871309
6,944,74.382297699,51.8384842427
6,941,73.956560589,51.7528864364
6,943,74.328407348,51.8632689743
6,943,74.32208941,51.8166597038
6,942,74.226042074,51.6921088765
6,943,74.397110052,51.5904364228
6,942,74.165381289,51.7865552393
6,941,74.004651331,51.8729372402
6,941,74.306179705,51.5936804191
9,952,74.785051661,63.1232184951
9,953,75.551894579,63.3050373005
9,956,75.48973394,63.280500707
9,958,75.766152558,63.4293892146
9,953,75.283144898,63.1350498175
9,952,75.46177299,63.2423565683
9,952,75.394782709,63.0474786919
9,957,75.727787759,62.9770015862
9,955,75.677784124,62.8640466766
9,952,75.306882676,63.4336642456
10,986,75.238870652,47.8355175728
10,988,75.381947806,49.2626762873
10,985,75.866801244,49.4254293834
10,992,76.289752103,48.2830837198
10,975,74.391339951,50.0322082341
10,980,75.078635361,48.6621704849
10,955,73.280781795,48.0463887884
10,986,75.868771608,49.5047207392
10,984,76.168948988,46.970891258
10,974,74.675697014,48.7229264208
38,865,67.784272121,46.2792227983
38,870,68.156663304,46.2957604657
38,866,67.674701194,46.1205418011
38,873,68.12333901,46.1626570071
38,867,67.812968786,46.1530695397
38,874,68.261017912,46.4585517127
38,874,68.27243721,46.0244907822
38,872,68.146443924,46.3080877075
38,871,68.21113925,46.1401593854
38,863,67.260218096,46.1696503803
40,888,70.117201909,60.8341888141
40,895,69.703699164,61.2847192298
40,883,70.120073787,60.1829561868
40,917,72.478544292,62.4418266576
40,885,70.077740543,60.4580071907
40,882,70.486712831,60.0977339398
40,908,70.620082907,61.4734415522
40,890,68.665985787,60.6685676151
40,904,71.263607392,59.0373226574
40,902,69.535721096,58.7616352629
41,842,67.803119279,38.4580254688
41,849,67.039986005,38.2022042672
41,831,66.154474924,38.4073434841
41,843,66.911135202,37.7432374734
41,847,67.465486179,38.5968128682
41,834,66.722075847,38.0397182208
41,841,66.864296943,38.6030054852
41,862,67.849439062,37.5253882705
41,853,67.547505076,38.5174164924
41,845,67.456556057,37.8728702428
61,837,67.632058813,48.7865861281
61,842,67.98932904,49.1661724442
61,845,68.215020446,49.6137876716
61,847,67.975660661,49.1289589113
61,848,67.672710862,49.1372572504
61,846,67.923553064,49.0268927828
61,844,67.94300759,49.2350867691
61,841,67.71354822,49.1180244731
61,841,67.901843157,48.7711945132
61,845,67.987500812,49.1104109467
63,872,67.251749203,57.3095665785
63,885,68.659012094,58.0229408202
63,888,68.833648434,56.7580175134
63,891,68.355681231,56.5730853546
63,898,68.773301774,57.3626791239
63,887,68.790978975,56.5750857466
63,893,67.59901405,56.726625528
63,874,67.833313254,57.2617775845
63,876,67.772536628,57.4180536715
63,883,68.776915769,56.5460939019
66,943,74.289512695,52.8565670981
66,951,74.897220872,52.8413800847
66,939,74.100021659,52.2658042809
66,939,74.57985762,52.9896951602
66,941,73.499792917,52.737574533
66,949,74.963054171,53.51492732
66,942,74.128119215,53.4792425334
66,944,73.582032829,52.8067619059
66,950,74.770920977,52.917752583
66,953,74.679657427,52.9818868174
82,848,71.172876466,33.888109933
82,854,71.203954506,33.6823314068
82,855,69.542669031,34.1645278249
82,864,71.631050695,34.144988156
82,864,72.113961511,34.9042043205
82,843,68.909860567,34.5818834158
82,852,71.357861666,34.3420229383
82,852,70.945510146,34.2255140512
82,857,71.203047577,34.2386972176
82,850,69.65483146,34.5070027649
110,921,74.89211709,68.0995956587
110,923,74.263348075,71.0642087333
110,944,76.952577313,69.5286392811
110,938,74.948550887,69.9358775423
110,951,76.19226135,70.1160859448
110,950,75.104412763,68.006248074
110,943,74.308128517,68.8631130431
110,939,74.694184836,68.4594484736
110,931,75.397592464,67.2380500125
110,930,75.31108251,68.4960828803
143,1514,103.776602467,220.041670391
143,1525,103.58825128,218.123321473
143,1512,104.276688081,221.964804706
143,1546,105.695222019,220.889217155
143,1568,105.855537274,225.090563782
143,1533,105.702701428,221.920164221
143,1552,105.320098783,229.812415616
143,1535,105.260222967,235.572994501
143,1511,104.594528021,215.488215488
143,1544,104.737494135,223.187819525
139,1581,109.669083289,241.956825829
139,1565,108.437957267,234.8468725
139,1574,109.16496498,235.7917075
139,1572,109.340468547,233.293964977
139,1568,109.041562764,230.525959384
139,1583,109.637174278,231.98492098
139,1564,108.392198694,241.24542953
139,1577,109.063182575,237.415142635
139,1547,108.230481315,240.644928408
139,1566,109.125231482,237.427473327
12,902,72.869472465,39.5290118241
12,914,73.418598875,39.5269610931
12,918,73.070413459,40.3697872512
12,917,74.215851402,40.2038839465
12,901,70.965865921,38.8188397534
12,888,71.34181943,39.8333968178
12,918,73.774508708,38.7193572587
12,912,72.839845072,38.0147734913
12,915,72.909132391,40.103768501
12,929,73.837436493,38.2377648115
22,868,68.137750143,17.3926938728
22,881,68.907104798,17.7191470889
22,868,68.120957254,17.809389444
22,872,68.716874441,18.1454139451
22,869,68.290434628,17.6241927294
22,870,68.608303861,17.7037661996
22,877,68.349445615,17.3911720237
22,882,68.89015175,18.0296316997
22,870,68.136531446,17.5518657633
22,870,68.342261596,17.6607946364
35,909,69.785424135,39.9257381271
35,910,71.128258605,42.728994026
35,903,69.319037547,42.8950973585
35,893,70.261113742,41.5208570943
35,911,71.515481314,40.6636304489
35,893,70.425667475,42.7468026727
35,913,71.82013878,40.946373047
35,905,71.752978844,40.7419620565
35,895,70.886535469,40.9777286045
35,909,70.785480843,41.5237665171
49,925,74.386697713,66.1524690375
49,959,74.426432853,65.955583037
49,922,70.920016489,64.4418130704
49,917,72.290122384,64.7216463569
49,929,73.896874333,63.3753723303
49,916,72.06498676,66.65569625
49,906,73.030354056,66.5821905125
49,904,70.940127855,64.2111261829
49,939,73.710764658,64.5426748098
49,906,71.188721633,65.1037693048
64,887,66.866577982,56.317404894
64,893,67.416776627,55.2453757894
64,889,67.226253873,55.503232196
64,877,66.729676089,54.6730975898
64,872,67.024275355,54.7219015861
64,873,66.762020275,56.5383011654
64,890,67.129067554,56.5473929001
64,888,67.241222069,56.423259078
64,877,66.667687955,55.9078917483
64,885,67.547837857,55.7518485222
71,861,67.855049047,39.2606724617
71,872,68.224850064,38.6459427799
71,868,67.968961405,39.2241463845
71,852,67.614921024,38.7753296812
71,851,67.220866236,38.6869176561
71,867,68.433467522,38.6498169569
71,847,66.248561568,38.1554237339
71,848,67.543755207,38.4392233835
71,876,68.703783661,39.3385711002
71,876,68.350274762,38.8895573032
16,780,63.19082524,45.8864911604
16,768,62.397986251,46.1806442489
16,777,63.373692316,46.617941206
16,771,63.184226604,47.0797324694
16,765,62.34850651,46.6553916137
16,770,62.873687503,47.0421512376
16,763,62.358469246,46.8436184353
16,775,63.539140953,46.031045063
16,772,63.613694646,46.2843100528
16,779,63.625046959,46.1573967228
43,946,71.863646695,52.9646113639
43,940,71.883792674,52.3037343232
43,948,73.413058021,52.4318549735
43,960,74.138303567,52.7389651956
43,956,73.225564327,52.4269585974
43,943,70.563541196,52.5574970806
43,946,72.767640972,52.6937194027
43,949,72.873210336,51.7674541251
43,950,73.145818809,51.1704439516
43,944,71.046375418,52.3375246968
75,788,64.695954281,31.7899952911
75,778,62.214179844,31.414157379
75,796,66.082462165,31.9529014233
75,788,65.236810649,31.9035237442
75,783,63.375966992,31.7830173406
75,793,65.555745969,32.2863801923
75,783,65.151429329,31.5139291567
75,784,65.082177159,32.0244346436
75,786,65.072512869,32.2465571762
75,779,64.373021631,31.8649245847
92,912,73.516788164,44.0651779063
92,907,72.493654168,44.5659485514
92,892,72.606705659,43.2680931616
92,924,74.739468063,44.3621895513
92,906,72.915363352,43.7869709131
92,912,71.356680803,43.6466205922
92,896,71.373157109,43.8991800456
92,915,71.708078994,42.7260273607
92,909,72.434571238,44.4504946507
92,907,73.454215849,43.4642058682
112,918,70.403122205,49.8618670464
112,936,71.569546733,52.0122228724
112,925,72.305316236,51.8452871824
112,908,70.360667467,53.6268509643
112,906,68.659612681,53.3248013651
112,937,71.983751623,52.1417211982
112,925,71.491949224,52.2914266572
112,894,69.803257677,50.9256533204
112,930,71.964851994,52.7653147204
112,918,70.059952909,51.1553924977
57,964,72.64199242,65.4880187623
57,965,75.377543264,67.163677883
57,963,75.119980766,67.9665264857
57,988,77.498786483,68.8903910821
57,975,75.572811753,67.6840424294
57,985,76.488510438,68.2538531433
57,962,75.53877522,68.0318389006
57,953,74.56947501,68.0853961081
57,960,76.084661365,67.8544014182
57,978,76.596445647,67.1294402454
65,878,68.873023076,51.1723260061
65,900,70.363552442,51.9863665754
65,900,71.047802883,51.9274832696
65,875,67.692948142,52.1981965523
65,894,67.734831786,52.3022810332
65,884,67.375084635,50.6539905055
65,861,67.854822533,50.1068685556
65,889,69.867673624,51.8437752637
65,881,70.174283219,51.2056531041
65,876,69.842644676,50.8130081301
114,910,71.854064164,29.407764385
114,894,71.411935277,28.9766095375
114,915,72.0896708,29.6822056105
114,899,73.414364539,30.0343423934
114,897,72.967515568,28.4400204413
114,914,71.592767979,29.1114458927
114,912,72.309510247,30.006573315
114,901,71.893659624,29.3868345145
114,911,72.14193369,29.3036804507
114,916,72.003872071,30.0009750317
127,972,80.677266454,40.0804615265
127,970,79.630044077,39.5398549382
127,982,81.293767718,40.2356804985
127,965,79.953469265,38.6857016438
127,971,80.135190702,40.0852312229
127,953,80.165828587,40.165028059
127,971,80.736236418,38.7949794447
127,971,80.470443296,39.5795171052
127,967,78.513569893,39.4995408178
127,952,75.662712766,40.2749774083
2,949,72.546717292,44.1180931057
2,969,73.556158271,47.0541181176
2,952,73.738205276,45.8384424097
2,953,73.174695659,44.8552437182
2,963,74.877680848,43.5682980725
2,953,74.440284047,44.5929637877
2,945,71.572691228,44.3470042213
2,954,73.531231647,45.5075514093
2,949,72.312820789,44.8218192616
2,963,75.062753958,46.2935502958
5,894,72.51227272,51.2473935896
5,903,73.608683417,51.1556378309
5,899,72.938831273,49.6719324089
5,921,74.929687335,50.1561108952
5,890,72.447856038,50.5091958305
5,892,74.581120892,48.4435980271
5,886,73.037164575,49.4524684509
5,903,75.014069373,50.0492672474
5,916,73.830236617,50.9962597431
5,915,75.093410335,50.2565439517
7,961,73.098052624,46.175579756
7,918,71.362255291,45.9162516268
7,950,72.373230788,46.1425545383
7,946,72.481559583,45.1694135316
7,953,73.54864158,45.9969038334
7,929,72.479521621,45.3386870766
7,929,72.767609385,44.7642602146
7,950,72.669676949,46.2426409172
7,943,73.314672812,46.0624520483
7,931,71.985898053,45.9054491203
11,884,70.993575008,34.0055450292
11,896,72.507556342,33.977995001
11,889,72.049708263,34.1672272227
11,882,71.555478641,33.9245391033
11,891,70.700750524,34.3159122885
11,883,71.567241582,33.9787887411
11,881,71.239508028,33.8964738134
11,886,71.467214752,33.8135920073
11,885,70.710182696,34.3801368759
11,872,69.801612957,33.3061679901
15,862,68.185630173,48.6077672174
15,866,70.007423998,47.2381897145
15,867,70.081219325,48.813451767
15,868,70.496652237,49.901211196
15,870,70.574137155,48.8717498377
15,862,69.927207901,48.7083163362
15,872,69.95034726,48.7790006402
15,875,68.906551465,49.0023429245
15,857,69.792424036,48.1341981444
15,860,69.600150624,48.536841738
17,837,68.584265357,53.1814117671
17,837,68.678493373,53.1987405198
17,842,68.795314214,53.1785836549
17,838,68.158773013,53.0781160586
17,850,69.210097798,53.41167045
17,847,69.235655716,53.2930970451
17,838,68.595241755,52.6201548348
17,834,67.774666972,52.9885544722
17,841,69.09651478,53.4856783739
17,844,69.075200171,53.3010861762
19,890,72.780062519,59.0175060677
19,897,73.176506652,59.8209111473
19,890,72.266678456,56.7019990999
19,889,70.396046876,59.0127172406
19,892,70.020108707,57.7180796473
19,904,72.490701817,59.2844002364
19,884,69.873588161,57.8265528688
19,896,71.759399158,59.2030163937
19,902,72.932631425,59.2679299379
19,891,71.289051028,58.1779043955
20,883,69.398392222,57.9297710145
20,897,71.063850675,56.1457684513
20,918,72.128799109,56.5568873917
20,907,70.82379496,54.5876669402
20,883,70.521057913,57.8944511787
20,890,70.103884115,54.8806945152
20,895,71.395367076,56.2914489771
20,911,71.431781361,57.2344322344
20,898,70.111704132,55.6009243654
20,886,69.05809419,57.0484216306
21,904,73.000574652,64.8727986328
21,913,72.347579959,63.7835187374
21,912,72.334132417,62.3986022713
21,919,73.531706186,65.0078822057
21,912,73.543805458,63.0174321972
21,907,72.821742089,64.0498307683
21,904,72.565554506,65.9260968454
21,925,73.633053532,63.8801608183
21,917,73.192268786,63.2543576322
21,906,73.114994101,63.5480462948
26,887,71.517073493,38.6473896708
26,888,71.835462141,38.7731684827
26,886,71.551957202,38.6031917601
26,887,71.745947691,38.7321983185
26,886,71.821386278,38.9189294375
26,884,71.530770811,38.6364240058
26,888,71.837910417,38.7976134618
26,888,71.785661658,38.8493313666
26,890,71.890261953,38.7408262934
26,884,71.527459889,38.6010031436
27,787,62.155681747,54.3715582379
27,798,62.820986627,54.5714690128
27,786,62.664192489,55.0879772211
27,808,63.759842898,54.34653388
27,797,62.723406938,55.0413584207
27,810,63.639975156,54.9933062835
27,797,63.301484471,54.9134683861
27,797,63.010831006,55.9784063298
27,793,63.504257666,55.4230598032
27,800,62.969342435,56.0822024883
28,746,59.538742093,66.0403836946
28,775,61.717014746,66.6986264252
