OTU,susp_C,susp_MAC_a1,susp_MAC_a2,susp_PEB_a1,susp_PEB_a2
OTU-191,1,0,0,0.5,0.75
OTU-149,1,0,0,0,0
OTU-5,1,0,0.25,1,0
OTU-10108,1,0,0,0,0
OTU-70712,1,0,0,0,0
OTU-65,1,0,0,0,0
OTU-976,0.25,0,0,0,0
OTU-139,0.25,0,0,0,0
OTU-580,1,0,0,0.25,0
OTU-1034,1,0,0,0,0
OTU-18608,1,0,0,0,0
OTU-424,1,0,0,0,0
OTU-104,0.75,0,0,0,0
OTU-687,1,0,0,0,0
OTU-1656,0.5,0,0,0,0
OTU-740,1,0,0,0,0
OTU-334,1,0,0,0,0
OTU-86,0.5,0,0,0,0
OTU-547,0.25,0,0,0,0
OTU-229,1,0,0,0,0
OTU-181,0.25,0,0,0,0
OTU-136,1,0,0,0,0
OTU-19704,0.5,0,0,0,0
OTU-6,1,0,0,0.25,0.25
OTU-14931,0.25,0,0,0,0
OTU-350,1,0,0,0,0
OTU-70124,0.75,0,0,0.25,0
OTU-10407,1,0.25,0.25,0.75,0
OTU-10847,0,0.5,0,0,0.25
OTU-2390,0.5,0.25,0,0.75,0
OTU-148,1,0,0,0,0
OTU-2445,1,0,0,0,0
OTU-5369,1,0,0,0,0
OTU-23,1,0,0,0,0.25
OTU-1551,1,0,0,0,0
OTU-54534,1,0,0,0,0
OTU-569,1,0,0,0,0
OTU-60671,1,0,0,0,0
OTU-19152,1,0,0,0,0
OTU-1313,1,0,0,0,0
OTU-17126,0.5,0,0,0,0
OTU-2461,0.5,0,0,0,0
OTU-16,1,0,0,0,0
OTU-168,1,0,0,0,0
OTU-35999,1,0,0,0,0
OTU-100,0.5,0,0,0,0.25
OTU-373,1,0,0.25,0,0
OTU-15981,1,0,0,0,0
OTU-45,0.75,1,1,0.25,1
OTU-53752,0.25,1,1,0,0
OTU-5733,0.25,1,1,0,0.25
OTU-60945,0.25,0.75,1,0,0
OTU-2864,0.75,0,0.75,0,0
OTU-10822,0.5,0.5,0.25,0,0
OTU-26284,0.25,0,0,0,0
OTU-167,1,0.75,1,0,0
OTU-1673,0.5,0,0,0,0
OTU-757,1,0.5,0.75,0,0
OTU-30,1,0.25,0,0,0
OTU-27,1,0,0,0,0
OTU-261,0,0,0.25,0,0
OTU-67734,0.25,0,0,0,0
OTU-52161,0,0,0,0,0
OTU-5326,0.25,0,0,0,0
OTU-776,0.75,0,0,0,0
OTU-4417,0.25,0,0,0,0
OTU-1408,0.75,0,0,0,0
OTU-412,1,0,0,0,0
OTU-589,0.75,0,0,0,0
OTU-512,0.75,0,0,0.5,0
OTU-47,1,0,0,0,0.25
