source,target,value,edge_name
OTU-52,OTU-16154,0.0370889509415094,OTU-16154__OTU-52
OTU-222,OTU-2667,-0.0166305728594172,OTU-222__OTU-2667
OTU-728,OTU-2667,0.0108525623378111,OTU-2667__OTU-728
OTU-150,OTU-2667,0.0127322472410105,OTU-150__OTU-2667
OTU-25822,OTU-2667,-0.00644333609552103,OTU-25822__OTU-2667
OTU-26710,OTU-2667,0.039827080968236,OTU-2667__OTU-26710
OTU-23709,OTU-2667,0.0442603250720913,OTU-23709__OTU-2667
OTU-655,OTU-2667,-0.0112472902613984,OTU-2667__OTU-655
OTU-317,OTU-2667,0.0131918854433586,OTU-2667__OTU-317
OTU-248,OTU-2667,0.00365735606960439,OTU-248__OTU-2667
OTU-120,OTU-2667,0.0508883006726004,OTU-120__OTU-2667
OTU-222,OTU-2147,-0.136749198894494,OTU-2147__OTU-222
OTU-150,OTU-2147,0.00702959958899712,OTU-150__OTU-2147
OTU-25822,OTU-2147,-0.0481785612048528,OTU-2147__OTU-25822
OTU-1,OTU-2147,0.0371236701705967,OTU-1__OTU-2147
OTU-219,OTU-2147,-0.00389693034616171,OTU-2147__OTU-219
OTU-26710,OTU-2147,0.0948840923388435,OTU-2147__OTU-26710
OTU-38,OTU-2147,-0.0533981063307582,OTU-2147__OTU-38
OTU-23709,OTU-2147,0.0493569863257297,OTU-2147__OTU-23709
OTU-2428,OTU-2147,0.0186922642979092,OTU-2147__OTU-2428
OTU-98,OTU-2147,-0.0676833026060476,OTU-2147__OTU-98
OTU-120,OTU-2147,0.0914976404454022,OTU-120__OTU-2147
OTU-4225,OTU-2147,0.0594541329041741,OTU-2147__OTU-4225
OTU-2667,OTU-2147,0.0432897629727253,OTU-2147__OTU-2667
OTU-39431,OTU-715,0.0475625313526506,OTU-39431__OTU-715
OTU-28474,OTU-715,0.00319036103629573,OTU-28474__OTU-715
OTU-25822,OTU-715,0.0506837852416612,OTU-25822__OTU-715
OTU-49248,OTU-715,0.085476481372676,OTU-49248__OTU-715
OTU-23498,OTU-715,0.0706392555383849,OTU-23498__OTU-715
OTU-38,OTU-715,-0.104187347155356,OTU-38__OTU-715
OTU-23709,OTU-715,0.0975679169413275,OTU-23709__OTU-715
OTU-120,OTU-715,-0.0175234661648515,OTU-120__OTU-715
OTU-31,OTU-715,0.0485979048546238,OTU-31__OTU-715
OTU-773,OTU-715,0.158834443052311,OTU-715__OTU-773
OTU-56220,OTU-715,0.0220994436287325,OTU-56220__OTU-715
OTU-52,OTU-715,0.031263594672208,OTU-52__OTU-715
OTU-59756,OTU-715,0.0263508498429467,OTU-59756__OTU-715
OTU-4,OTU-715,0.0164295908884321,OTU-4__OTU-715
OTU-16154,OTU-715,0.0190548745825405,OTU-16154__OTU-715
OTU-2147,OTU-715,0.0196662154612511,OTU-2147__OTU-715
OTU-25822,OTU-66662,-0.00524384454035381,OTU-25822__OTU-66662
OTU-26710,OTU-66662,0.0235052362181396,OTU-26710__OTU-66662
OTU-655,OTU-66662,-0.00232426182905953,OTU-655__OTU-66662
OTU-248,OTU-66662,0.011333501700169,OTU-248__OTU-66662
OTU-120,OTU-66662,0.0665025641320155,OTU-120__OTU-66662
OTU-2667,OTU-66662,0.692054687063093,OTU-2667__OTU-66662
OTU-2147,OTU-66662,0.0423160035067094,OTU-2147__OTU-66662
OTU-317,OTU-581,0.0224006656975539,OTU-317__OTU-581
OTU-23498,OTU-914,0.0207620485504573,OTU-23498__OTU-914
OTU-219,OTU-914,-0.0302617474917141,OTU-219__OTU-914
OTU-375,OTU-914,0.0105745826387955,OTU-375__OTU-914
OTU-2147,OTU-914,0.017926392324234,OTU-2147__OTU-914
OTU-120,OTU-548,-0.0259916356647987,OTU-120__OTU-548
OTU-773,OTU-548,0.00435071111266205,OTU-548__OTU-773
OTU-715,OTU-548,0.0504512862563725,OTU-548__OTU-715
OTU-26710,OTU-4113,-0.0338121616146803,OTU-26710__OTU-4113
OTU-2147,OTU-104,-0.0398016236889641,OTU-104__OTU-2147
OTU-66662,OTU-104,-0.00323530477433975,OTU-104__OTU-66662
OTU-317,OTU-334,0.0435501549085381,OTU-317__OTU-334
OTU-3584,OTU-3075,0.0150649345805826,OTU-3075__OTU-3584
OTU-317,OTU-3075,0.140722107721007,OTU-3075__OTU-317
OTU-773,OTU-3075,0.0105222241880911,OTU-3075__OTU-773
OTU-715,OTU-3075,0.0476755696180194,OTU-3075__OTU-715
OTU-3075,OTU-227,0.00827018273006655,OTU-227__OTU-3075
OTU-2667,OTU-19704,0.0208424061798835,OTU-19704__OTU-2667
OTU-66662,OTU-19704,0.011081101259808,OTU-19704__OTU-66662
OTU-28474,OTU-10847,-0.0211072378365172,OTU-10847__OTU-28474
OTU-150,OTU-10847,-0.114802098335808,OTU-10847__OTU-150
OTU-23498,OTU-10847,-0.0591088505959384,OTU-10847__OTU-23498
OTU-219,OTU-10847,0.236548519745089,OTU-10847__OTU-219
OTU-26710,OTU-10847,0.0541507244218756,OTU-10847__OTU-26710
OTU-38,OTU-10847,0.128288491832095,OTU-10847__OTU-38
OTU-23709,OTU-10847,-0.0136509901841245,OTU-10847__OTU-23709
OTU-20,OTU-10847,-0.0116947638370079,OTU-10847__OTU-20
OTU-17138,OTU-10847,-0.0418621068603599,OTU-10847__OTU-17138
OTU-5544,OTU-10847,-0.0916208293511485,OTU-10847__OTU-5544
OTU-12250,OTU-10847,-0.0706749866157694,OTU-10847__OTU-12250
OTU-58,OTU-10847,-0.025759053656773,OTU-10847__OTU-58
OTU-773,OTU-10847,-0.141362064724114,OTU-10847__OTU-773
OTU-52,OTU-10847,-0.0041955877112868,OTU-10847__OTU-52
OTU-66662,OTU-10847,0.0704220723148021,OTU-10847__OTU-66662
OTU-548,OTU-10847,-0.0109069265718139,OTU-10847__OTU-548
OTU-26710,OTU-2390,0.209222653430864,OTU-2390__OTU-26710
OTU-120,OTU-2390,0.0187902842340994,OTU-120__OTU-2390
OTU-2667,OTU-2390,0.0348865053801663,OTU-2390__OTU-2667
OTU-2147,OTU-2390,0.101605741194524,OTU-2147__OTU-2390
OTU-66662,OTU-2390,0.0383705415287505,OTU-2390__OTU-66662
