sample,file,lib_id
90,90_S135_R1_001.fastq.gz,S135
91,91_S92_R1_001.fastq.gz,S92
92,92_S93_R1_001.fastq.gz,S93
93,93_S94_R1_001.fastq.gz,S94
94,94_S95_R1_001.fastq.gz,S95
95,95_S96_R1_001.fastq.gz,S96
96,96_S97_R1_001.fastq.gz,S97
97,97_S136_R1_001.fastq.gz,S136
98,98_S137_R1_001.fastq.gz,S137
99,99_S138_R1_001.fastq.gz,S138
