"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig","a","b"
"61","PEB_a1d1 vs PEB_a2d3",1,0.0174159990529583,6.25131479598747,0.268858550616943,0.001,0.00181395348837209,"*","PEB_a1d1","PEB_a2d3"
"62","PEB_a1d1 vs MAC_a2d3",1,0.026487482812778,10.8735411070835,0.404618842889201,0.001,0.00181395348837209,"*","PEB_a1d1","MAC_a2d3"
"63","PEB_a1d1 vs PEB_a2d2",1,0.0288334030755205,12.0015909088088,0.413825260364027,0.001,0.00181395348837209,"*","PEB_a1d1","PEB_a2d2"
"64","PEB_a1d2 vs PEB_a1d3",1,0.00325545373427791,1.41158196491766,0.0727185433659555,0.239,0.24856,"","PEB_a1d2","PEB_a1d3"
"65","PEB_a1d2 vs PEB_a2d1",1,0.0315442467577527,4.76222079067394,0.209216000251834,0.002,0.00331914893617021,"*","PEB_a1d2","PEB_a2d1"
"66","PEB_a1d2 vs PEB_a2d3",1,0.00988621122370091,3.0344387167811,0.151461129491959,0.053,0.0617014925373134,"","PEB_a1d2","PEB_a2d3"
"67","PEB_a1d2 vs MAC_a2d3",1,0.0167788196002843,5.71196052206616,0.263078984334972,0.001,0.00181395348837209,"*","PEB_a1d2","MAC_a2d3"
"68","PEB_a1d2 vs PEB_a2d2",1,0.00842320031052635,2.93032396181083,0.147028415966831,0.042,0.0511875,"","PEB_a1d2","PEB_a2d2"
"69","PEB_a1d3 vs PEB_a2d1",1,0.0318443567329248,5.43415500017848,0.231890375400226,0.001,0.00181395348837209,"*","PEB_a1d3","PEB_a2d1"
"70","PEB_a1d3 vs PEB_a2d3",1,0.00761784203944133,3.11026376712952,0.154660515801552,0.015,0.0220754716981132,".","PEB_a1d3","PEB_a2d3"
"71","PEB_a1d3 vs MAC_a2d3",1,0.0150021523531233,7.21882682559667,0.310904029726367,0.001,0.00181395348837209,"*","PEB_a1d3","MAC_a2d3"
"72","PEB_a1d3 vs PEB_a2d2",1,0.00632377587182882,3.06124865735794,0.152595120555228,0.018,0.026,".","PEB_a1d3","PEB_a2d2"
"73","PEB_a2d1 vs PEB_a2d3",1,0.00998598911762484,1.42233469619812,0.077207081493946,0.247,0.2535,"","PEB_a2d1","PEB_a2d3"
"74","PEB_a2d1 vs MAC_a2d3",1,0.0165193414767093,2.38185082329451,0.129576224189356,0.032,0.0423050847457627,".","PEB_a2d1","MAC_a2d3"
"75","PEB_a2d1 vs PEB_a2d2",1,0.0236975372791466,3.57033936513307,0.173567353545213,0.006,0.00936,"*","PEB_a2d1","PEB_a2d2"
"76","PEB_a2d3 vs MAC_a2d3",1,0.00887983841613146,2.82648475509719,0.158555362648769,0.047,0.0555454545454546,"","PEB_a2d3","MAC_a2d3"
"77","PEB_a2d3 vs PEB_a2d2",1,0.00800899711430022,2.61564153976183,0.140507730242602,0.047,0.0555454545454546,"","PEB_a2d3","PEB_a2d2"
"78","MAC_a2d3 vs PEB_a2d2",1,0.00642086989795461,2.3719405848881,0.136538607952151,0.072,0.0825882352941176,"","MAC_a2d3","PEB_a2d2"
